1	하나
bridge, leg, foot	다리
bright	밝다
bring	가져오다
bring, take along	데리다
broadcast	방송
broadcasting company	방송사
broadcast stations	방송국
broken, malfunction	고장
brother (as seen from the younger brother)	형
brother (as seen from the younger sister)	오빠
brother, sister	동생
brown	갈색
bruise	멍
bubble	거품
buddhism	불교
buddhist monk	스님
buffet	뷔페
build, create	짓다
build, frame	체격
building	건물
building	빌딩
Bulgogi, grilled meat	불고기
bulletin board	게시판
bunch, flower, cluster	송이
burden, pressure	부담
burn, scald	화상
bus	버스
Busan	부산
business	사업
business	장사
business administration	경영학
business trip	출장
busy	바쁘다
but, however	그러나
but, however	하지만
(but) still	그래도
butt	엉덩이
button	버튼
buy	사다
buzzword	유행어
by any chance	만약
by oneself	스스로
by the way	근데
by the way, however	그런데
cabbage	배추
cafe, coffee shops	카페
café, teahouse	찻집
caffeine	카페인
cake	케이크
calculate	계산하다
calculation, accounting	계산
calendar	달력
call, sing	부르다
camera	사진기
camera	카메라
camping	캠프
campus	캠퍼스
Canada	캐나다
cancel	취소하다
cancer	암
candidate	후보
candy	사탕
~ can not do	못하다
capital, hub	중심지
capital, water supply	수도
car, automobile	자동차
car company	자동차회사
card	카드
career	경력
carelessness	부주의
cargo	화물
carnation	카네이션
carpet	카펫
car rental	렌터카
car repair shop	카센터
carrot	당근
car, tea	차
cartoon book	만화책
case, circumstance	경우
case, example	사례
cash	현금
cashier	계산대
cassette	카세트
castle, last name	성
casual talk	반말
cat	고양이
catch, grab, hold	잡다
catholic church	성당
cause	원인
caution	주의
caution, carefulness	조심
cave	동굴
CD	시디
ceiling	천장
celebrate	축하하다
celebration	축하
celebrity	연예인
cell phone, mobile phone	핸드폰
cell phone, mobile phone	휴대전화
center	센터
center	중심
centimeter	센티미터
central part	중부
central part	중앙
century	세기
CEO, the president	사장
certificate	증명서
chair	의자
chairperson	진행자
challenge	도전
chance, accident	우연
change	변화
change	바꾸다
change	거스름돈
change, alter	변경
channel	채널
~ chapter(s), ~ sheet(s)	장
character, Here we go.	자
characteristic, feature	특징
chatter, make a noise	떠들다
cheap thing	싸구려
cheap, wrap	싸다
check, bill	계산서
cheek	뺨
cheerfulness, brightness	명랑
cheering, support	응원
cheers, toast	건배
cheese	치즈
chef	요리사
cherry blossom	벚꽃
chest, breast	가슴
chew, bite	씹다
chewing gum	껌
chicken	닭고기
chicken, hen	닭
child	애
child	아이
child	아동
child	자녀
child	어린이
childcare	육아
child, kid	자식
children	어린아이
children's book	동화책
Children's day	어린이날
China	중국
Chinese	중국어
Chinese character	한자
Chinese cuisine	중식
Chinese restaurant	중국집
chip, crack, break	깨지다
chocolate	초콜릿
choose	고르다
choose, establish	정하다
choose, select	선택하다
chop, cut	썰다
chopsticks	젓가락
chopsticks and a spoon	수저
Christmas	크리스마스
chrysanthemum	국화
church	교회
Chusoku (Korean Thanksgiving Day)	추석
cider	사이다
circumstances, situation	사정
citizen	시민
citizens	국민
city	도시
city hall	시청
city, time	시
