1	하나
string	끈
striped pattern	줄무늬
structure	구조
student	학생
student, disciple, follower	제자
student ID card	학생증
studio	촬영장
studio apartment	원룸
study	공부
study	공부하다
study abroad	유학
studying for an exam	시험공부
stuff, thing	물건
style	스타일
subject, theme	주제
submission	제출
substitute	대리
substitute, change	교체
subtitles	자막
suburbs	시외
suburbs	교외
subway	지하철
subway station	지하철역
subway train	전동차
subway, train	전철
success	성공
successful candidate, winner	합격자
such, of this kind, of this sort	이러하다
suck, do laundry	빨다
suddenly	급히
suddenly	갑자기
(sudden) shower/rain	소나기
sugar	설탕
suggestion	제안
suicide	자살
suit	양복
summary	요약
summer	여름
summer day	여름날
summer vacation	피서
summit, top	꼭대기
sun	태양
Sunday	일요일
Sundubu soup	순두부찌개
sunglasses	선글라스
sunlight	햇볕
sunrise	일출
sunrise	해돋이
sunshine, sunlight	햇빛
superior, senior	웃어른
superior, senior	윗사람
supermarket	마트
supermarket	슈퍼마켓
supplement, acupuncture medicine	보약
support	지원
supporter	지원자
sure, of course	물론
surgery department	외과
suspension	중단
swallow	제비
swarm, unreasonable	무리
sweat	땀
sweater	스웨터
sweep, clean	청소하다
sweet	달다
sweet potato	고구마
swimming	수영
swimming pool	수영장
swimsuit	수영복
swing	그네
symbol	기호
symbol	상징
symptom, medical condition	증세
symptoms	증상
system	제도
system	시스템
table	식탁
table	테이블
table for having a meal	밥상
table tennis	탁구
table, ticket	표
tablet medicine	알약
Taekwondo	태권도
tail	꼬리
take a bath	목욕하다
take a look	구경하다
take a picture	촬영하다
take a shower	샤워하다
take away	가져가다
take off (clothes, shoes)	벗다
take out	꺼내다
take you, serve you (honorific form)	모시다
talent, skills	재주
talk	말씀하다
talk	얘기하다
talk	이야기하다
tape	테이프
tap water	수돗물
tardy, being late	지각
target, goal	목표
task	과제
tax	세금
taxi	택시
teach	가르치다
teacher	강사
teacher	교사
teacher	선생님
teaching materials	교재
team	팀
team leader	팀장
tear	눈물
technician	기술자
teenager	청소년
telephone	전화
telephone	전화기
tell	전하다
temperature	기온
temperature	온도
temple, employee	사원
temporarily, for a while	한동안
temporary	일시
temporary	임시
tennis	테니스
tent	텐트
terminal	터미널
term, period	기간
textbook	교과서
Thailand	태국
thank	감사
thank	고맙다
thank, appreciate	감사하다
thankfulness	고마움
thanks for, thanks to	덕분
thanks (to someone)	덕
thank you	감사합니다
thank you	감사드립니다
Thank you	고맙습니다
Thank you (past tense)	고마웠습니다
that	저
that	저거
that	저것
that day	그날
that is, which means	즉
that much	그만큼
that person	걔
that person	쟤
that person	저분
That's right.	맞아요
That's right.	맞습니다
That's right.	그렇습니다
that, thing, it	것
(the amount of) rainfall	강우량
theater	연극
theater, cinema	극장
the back view	뒷모습
(the country's) literature	국문학
the day after tomorrow	모레
the day before	전날
the day of the year to eat nourishing food	복날
the dead, casualty, victim	사망자
the feeling of reward	보람
the fifteenth day of the calendar	보름
the first	최초
theft	도난
the last place	꼴찌
them, they	그들
then	그럼
then	그리하여
then, at that time	그때
then, if so	그러면
then, such	그런
the original literature	본문
theory	설
the other person	상대편
the person concerned	관계자
there	거기
there	그곳
therefore	그러니
therefore, hence	따라서
there, over there	저기
there, over there	저쪽
there, the person	그쪽
The United Kingdom	영국
The United States	미국
the way one speaks	말투
the youngest	막내
thick	두껍다
thief	도둑
thin	얇다
think	생각하다
thinking, thought	생각
third	셋째
this	이거
this	이것
this and that, various	이런저런
this and that, various, everything	이것저것
this much	이만큼
this much of, at here	이만
this person	얘
this person	이분
this place, here	이곳
this, such ~	이런
this time	이번
this, tooth, 2	이
this way	이리
this way, here, this person	이쪽
this year	올해
thoroughly, meticulously	꼼꼼히
thoughtlessly, mindlessly	함부로
thoughts, feelings	소감
three or four	서너
thunder	벼락
Thursday	목요일
ticket	티켓
ticket office	매표소
tie	매다
tiger	호랑이
time	때
time	시간
~ time(s)	번
~ times	～회
tired	피곤하다
title	제목
to accept	받아들이다
to accomplish, to achieve	해내다
to accomplish, to achieve, to compose	이루다
to add	합하다
to add on, to get worse	더하다
to admit, to accept	알아주다
to approach, to come closer	다가오다
to argue, to fight	다투다
to ask politely	여쭈다
to assemble	맞추다
to avoid	피하다
tobacco	담배
tobacco fire	담뱃불
to be absurd, to be nonsensical, to be ridiculous	황당하다
to be accurate	정확하다
to be achieved, to be composed of	이루어지다
to be active	활발하다
to be amazing, to be remarkable	놀랍다
to be annoying	골치가 아프다
to be annoying, to be regretful, to be sad	속상하다
to be appropriate	적당하다
to be ashamed of	부끄러워하다
to be awkward	어색하다
to be based on	의하다
to be blue	푸르다
to be bored	심심하다
to be boring	지루하다
to be bothersome, to be tedious	귀찮다
to be broken, to be ruined	망가지다
to be calm, to be gentle	얌전하다
to be calm, to be quiet	차분하다
to be chased	쫓기다
to be cheap	저렴하다
to be cheerful, to be bright	명랑하다
to be chilly	쌀쌀하다
to be clear	뚜렷하다
to be clever, to be smart	똑똑하다
to be clumsy, to be unskilled	서투르다
to become famous	이름나다
to become hot	뜨거워지다
to be comfortable	편안하다
to be common	흔하다
to be compassionate, to be kind	다정하다
to be connected	이어지다
to be cool, to be chilly	선선하다
to be correct	옳다
to be cozy	포근하다
to be crowded	붐비다
to be curious	궁금하다
to be cut	끊어지다
to be deep	깊다
to be depressed	우울하다
to be detailed, to be minute	자세하다
to be distinct, to be clear	분명하다
to be distressed	괴로워하다
to be done	당하다
to be dull	둔하다
to be durable, to be strong	튼튼하다
to be easy	손쉽다
to be eccentric, to be unique, to be new	색다르다
to be embarrassed, to be bewildered	당황하다
to be enough, to be rich	넉넉하다
to be envious of	부럽다
to be excited, to have fun	신나다
to be extremely big	커다랗다
to be extreme, to be severe	지나치다
to be fancy	화려하다
to be fantastic, to be amazing	멋지다
to be fast, to be quick	얼른
to be fat	뚱뚱하다
to be fine, to be clear, to be bright	화창하다
to be fluent	유창하다
to be fresh	생생하다
to be fresh	신선하다
to be fresh, to be lively	싱싱하다
to be fun, to be cheerful	유쾌하다
to be generous	너그럽다
to be given	주어지다
to be graceful	우아하다
to be greasy	느끼하다
to be great	대단하다
to be great	위대하다
to be great, to be excellent	훌륭하다
to be great, to be wonderful	굉장하다
to be hard, to be stiff	딱딱하다
to be harmful	해롭다
to be heard	들리다
to be honest	솔직하다
to be honest	정직하다
to be hot and humid	무덥다
to be important	소중하다
to be impossible	불가능하다
to be in a good relationship	사이좋다
to be incessant, to be unceasing	끊임없다
to be in charge, to be responsible	책임지다
to be inferior, to be behind	뒤떨어지다
to be insufficient	모자라다
to be itchy	가렵다
to be lazy	게으르다
to be lazy, to be laid back	느긋하다
to be leisurely, to be relaxed	한가하다
to believe in	믿다
to be lonely	쓸쓸하다
to be melt	녹다
to be messy, to be dirty	지저분하다
to be meticulous	꼼꼼하다
to be mysterious, to be amazing, to be marvelous	신기하다
to be natural,to be justifiable,to be fair	당연하다
to be neat, to be organized	단정하다
to be needless, to be useless	쓸데없다
to be new	새롭다
to be noble, to be rare, to be fine	귀하다
to be nostalgic, to be missed	그립다
to be not distant	머지않다
to be not in one's right mind	정신없다
to be nutty	고소하다
to be obvious, to be clear	뻔하다
to be old	낡다
to be old	오래되다
to be ordinary, to be usual, to be common	평범하다
to be painful	괴롭다
to be pathetic	불쌍하다
to be placed	놓이다
to be pleased, to be glad	반가워하다
to be polite	공손하다
to be possible	가능하다
to be proper, to be honest	올바르다
to be pure, to be innocent	담백하다
to be put in (a container)	담기다
to be rare	드물다
to be read	읽히다
to be reassuring, to be reliable	든든하다
to be recognized, to be accepted	인정받다
to be red	붉다
to be regrettable, to be precious	아깝다
to be reliable	믿음직스럽다
to be reliable, to be strong	씩씩하다
to be rich, to be abundant	풍부하다
to be rough	험하다
to be round	둥글다
to be saved	살아나다
to be scared	무서워하다
to be scolded	야단맞다
to be serious	심각하다
to be shattered	부서지다
to be shy	쑥스럽다
to be shy, to be ashamed	부끄럽다
to be simple	단순하다
to be sleepy	졸리다
to be slim and long	갸름하다
to be slippery	미끄럽다
to be soft, to supple	연하다
to be solid, to be hard, to be strong	단단하다
to be sorry, to be regrettable	섭섭하다
to be sorry, to be remorseful	서운하다
to be special	특별하다
to be squared	네모나다
to be strange, to be bizarre	엉뚱하다
to be strict	엄격하다
to be strong	강하다
to be stuffy, to be suffocating	답답하다
to be stung, to get bitten	물리다
to be such a one's thoughts	어떠하다
to be such a one's thoughts	어떡하다
to be suitable	적절하다
to be superior	뛰어나다
to be sure	확실하다
to be sure enough	틀림없다
to be sweet	달콤하다
to be sweet and spicy	매콤하다
to be taken away	빼앗기다
to be thick	굵다
to be thick, to be dark	짙다
to be thick, to be dark	진하다
to be thin	가늘다
to be thirsty	목마르다
to be timid, to be cowardly	소심하다
to be tired, to be exhausted	지치다
to be torn, to be ripped	찢어지다
to be tremendous, to be enormous	엄청나다
to be tricked	속다
to be trustworthy	믿음직하다
to be twined	감기다
to be ugly	못생기다
to be unaware of, to not realize	몰라보다
to be unfamiliar	낯설다
to be uniform, to be constant	일정하다
to be unique	독특하다
to be unkind	불친절
to be unrelated	관계없다
to be unsatisfied, to be sorry	아쉽다
to be untied, to be relieved	풀리다
to be vacant, to be empty	비다
to be valuable	귀중하다
to be varied	다양하다
to be very dark, to be pitch-dark	캄캄하다
to be weak	약하다
to be well-mannered, to be gentle	점잖다
to be white	희다
to bite	물다
to block	막다
to blow away	날리다
to boil	삶다
to boil quickly	데치다
to boil, to learn	익히다
to break	깨뜨리다
to break, to ruin	망가뜨리다
to break, to tear	찢다
to break up, to leave	헤어지다
to bring	데려오다
to bundle, to tie	묶다
to burn	불태우다
to burn, to bake	태우다
to burst, to happen suddenly	터지다
to capture	사로잡다
to catch	붙잡다
to change	갈다
to change	변하다
to change	달라지다
to change clothes	갈아입다
to chase	쫓다
to chase around	쫓아다니다
to clean up, to remove	치우다
to clear up	개다
to collapse, to be pulled down	무너지다
to collide	부딪치다
to come alive	살아오다
to come and go	오가다
to come face to face	마주보다
to compare	비하다
to connect, to tie, to continue	잇다
to count	세다
to cover	씌우다
to crawl	기다
to cultivate	가꾸다
to cut	끊다
to cut back	덜다
to date	사귀다
to dawn	새다
today	오늘
today	오늘날
to deal with	다루다
to deceive	속이다
to decorate	꾸미다
to decrease	줄어들다
to delay	늦추다
to detach, to take away	떼다
to dig down, to carve	파다
to disappear	사라지다
to display, to reveal	나타내다
to distinguish	가리다
to doze	졸다
to dream	꿈꾸다
to dress someone up	입히다
to drop	빠뜨리다
to drop	떨어뜨리다
to dry, to expose to the air	널다
to eat (honorific)	잡수다
to emerge, to occur	생겨나다
to encounter, to come into contact	접하다
to endure	참다
to endure	견디다
to entrust	맡기다
to erase	지우다
toe(s)	발가락
to escape	달아나다
to escape, to run away	도망가다
to exaggerate	과장하다
to exchange	주고받다
to experience, to go through	겪다
to explore, to observe	살피다
to explore, to observe	살펴보다
to extend	뻗다
to fail, to not go well	안되다
to fall asleep	잠들다
to fall in love	반하다
to fall in love, to sink down	빠지다
to fall, to collapse	쓰러지다
to fear	두려워하다
to feed	먹이다
to feel a chill, to be painfully cold	시리다
to feel cool and fresh	상쾌하다
to feel jealous	부러워하다
to feel sorry	안타깝다
to find out	찾아내다
to flip	뒤집다
to float	떠오르다
to flow, to run	흐르다
to fly	날다
to fly around	날아다니다
to fly away	날아가다
to fly in	날아오다
to fly up, to soar	날아오르다
to fold, to quit	접다
to follow (after someone)	따라다니다
to freeze	얼다
to fry, to bounce	튀기다
tofu	두부
tofu soup	두부찌개
to gather	몰려들다
to get angry	혼나다
to get bigger, to grow	커지다
to get broken	부러지다
to get burned	데다
to get caught	잡히다
to get caught	붙잡히다
to get collided	부딪히다
to get crowded	몰리다
to get dirty	더러워지다
to get drunk	취하다
to get fat	찌다
to get fat	살찌다
together	같이
together	함께
to get less	적어지다
to get locked, to submerged	잠기다
to get low, to bend low	숙이다
to get married (for women)	시집가다
to get married (of men)	장가가다
to get old	늙다
to get out	벗어나다
to get red	빨개지다
to get returned	돌려받다
to get rid of, to dispose of	없애다
to get rotten, to get damaged	상하다
to get sick of, to get tired of	싫증
to get smaller	작아지다
to get tired, to get bored	지겹다
to get treated	얻어먹다
to get wet, to get soaked	젖다
to give birth	낳다
to give up	포기
to go forward, to get involved	나서다
to go mad, to be crazy	미치다
to go out, to be extinguished	꺼지다
to go through	거치다
to go up and down	오르내리다
to grab	집다
to grow up	자라다
to hand over	넘기다
to hand over, to start (a conversation)	건네다
to harass, to bully	괴롭히다
to hate, to be annoying	밉다
to have a high standard	까다롭다
to have bad manners	버릇없다
to have no relation	상관없다
to have something ahead	앞두다
to head	향하다
to heal	낫다
to hesitate	망설이다
to hide	숨다
to hide (something)	숨기다
to hurry, to rush	서두르다
toilet bowl	변기
toilet paper	휴지
toilet paper	화장지
toiletries, washing accessories	세면도구
to illuminate	비추다
to improve	나아지다
to increase	높이다
to increase (the number or volume)	늘리다
to increase, to become bigger	불어나다
to indicate	가리키다
to interrupt	끼어들다
to jump around, to run around	뛰어다니다
to jump off	뛰어내리다
to jump over	뛰어넘다
to keep someone alive, to bring someone to life	살리다
to kick out	내쫓다
to kick out	쫓아내다
to kill	죽이다
Tokyo	도쿄
to lay	깔다
to let/make someone sit down	앉히다
to light up	켜지다
to line up	늘어서다
to listen (to someone)	들어주다
to live	살아가다
to lock (a door)	잠그다
to look around	둘러보다
to look at	바라보다
to look back	돌아보다
to look back, to think back	되돌아보다
to look down	내려다보다
to look for	찾아보다
to make a hole	뚫다
to make fun of	놀리다
to make someone wear (shoe)	신기다
to make something empty	비우다
to make up one's mind	마음먹다
tomato	토마토
tomb	무덤
to meet (coincidentally)	마주치다
to memorize	외우다
to miss, to be nostalgic	그리워하다
to miss, to lose	놓치다
to mix, to rub	섞다
to mix, to rub	비비다
tomorrow	내일
to move on	나아가다
to move on to	넘어가다
to narrow, to make something smaller	좁히다
to nurture, to make it bigger	키우다
to obtain	얻다
too, excessively	하도
tool	도구
to open, to spread	벌리다
toothbrush	칫솔
toothpaste	치약
to overflow	넘치다
too, very	너무
too~, very	너무나
to pack, to prepare	챙기다
to pass by	지나가다
to pass on, to leave	물려주다
to peel	까다
to perish, to breakdown	망하다
to pick up	줍다
to plant	심다
to pluck, to pick, to get	따다
Toppogi	떡볶이
to prepare	갖추다
to prey on, to feed on	잡아먹다
to procrastinate, to extend	미루다
to provide, to prepare	마련하다
to pull	끌다
to pull	당기다
to pull out, to choose	뽑다
to pull, to guide	이끌다
top, up	위
to push	밀다
to put in (a container)	담다
to put on, to get buried	묻히다
to put on, to pile on	싣다
to question closely	따지다
to quit	그만두다
to raise, to post	올리다
to raise, to sit upright	일으키다
to realize	깨닫다
to recognize	알아보다
to recommend, to offer	권하다
to reduce, to shrink	줄이다
to regain	되돌리다
to remain, to be left	남다
to remember, to recall	기억나다
to remember, to recall	생각나다
to repair (clothes)	수선하다
to result from, to be caused by, to be due to	인하다
to return	돌려주다
to return	돌려보내다
to return, to reward	갚다
to reveal, to disclose	밝히다
to revive	되살아나다
to roll	구르다
to run	뛰어가다
to run out	바닥나다
to run (to come)	달려오다
to run (to come)	뛰어오다
to run (to go)	달려가다
to rush in, to be pushed into	밀려오다
to rush out, to leap out	뛰쳐나가다
to satisfy, to fill in	채우다
to save, to be frugal	아끼다
to scold	꾸짖다
to scold	혼내다
to scold	야단치다
to scratch	긁다
to scream, to shout	외치다
to search around	찾아다니다
to shake	흔들다
to shake off	털다
to shine, to glitter	반짝이다
to shiver, to shake	떨다
to shoot	쏘다
to sink	가라앉다
to slide	미끄러지다
to spend (time, money)	들이다
to spill	쏟다
to spill, to pour, to fall heavily	쏟아지다
to spill, to shed	흘리다
to spin, to get around	돌다
to spit out	뱉다
to spray, to spread	뿌리다
to spread	퍼지다
to spread	펼치다
to stack, to build	쌓다
to stare, to look up	쳐다보다
to stay	머무르다
to stay (at a hotel)	묵다
to stay overnight	새우다
to stay up all night	밤새우다
to steal	훔치다
to step back, to withdraw	물러서다
to step on	밟다
to stop	멈추다
to stop by	들르다
to stop (conflict)	말리다
to stretch, to increase	늘어나다
to sum, to match	합치다
to survive	살아남다
to swallow	삼키다
to swim	헤엄치다
to take away	빼앗다
to take care	돌보다
to take care of	보살피다
to take off (clothes)	벗기다
to take over, to undertake	맡다
total, comprehensive	종합
to taste	맛보다
to tell (someone)	들려주다
to throw	던지다
to tie	맺다
to tighten, to pester	조르다
to tilt	기울이다
to touch	대다
to tremble, to be shaken	떨리다
to try hearing	들어보다
to try, to attempt	해보다
to turn	돌리다
to turn back	돌아서다
touch	만지다
to understand	알아듣다
tourism	관광
tourist	관광객
tourist attraction	관광지
to violate	어기다
to visit	다녀가다
to vomit	토하다
to wake someone up	깨우다
to walk around	돌아다니다
to wander, to get lost	헤매다
to watch, to take care	지켜보다
to wave, to shake	흔들리다
to wear deeply	눌러쓰다
towel	타월
towel, washcloth	수건
to widen	넓히다
to win	이기다
town, neighborhood	동네
toy	장난감
trade	무역
tradition	전통
traditional culture	전통문화
traditional Korean music	국악
traditional Korean palace	고궁
traditional Korean paper	한지
traffic	교통
traffic accident	교통사고
train	기차
train	열차
training	연수
training	훈련
train station	기차역
train ticket	기차표
transaction	거래
transfer	갈아타다
translation	번역
transportation	교통편
transportation	교통수단
trash can	휴지통
trash can	쓰레기통
travel	여행
travel agency, travel firm	여행사
travel destination	여행지
traveler	여행자
travel expenses	여행비
travelogue, travel essay	기행문
travel, sightsee	관광하다
treasure	보물
treat	치료하다
treatment medicine	치료제
tree	나무
trend	유행
trimming, repair	손질
triple, 3 times	세배
truck	트럭
trust, faith	믿음
truth	진실
t-shirt	티셔츠
Tuesday	화요일
tuition fee	학비
tuna	참치
turn left	좌회전
turn off, extinguish, stop	끄다
turn on (the light, the power, etc.)	켜다
turn on (the switch)	틀다
turtle	거북이
tutor lesson	과외
TV	텔레비전
twins	쌍둥이
two	두
two days	이틀
two, three	두세
two years ago	재작년
type	타입
typhoon	태풍
ultraviolet rays	자외선
umbrella	우산
unbalanced diet	편식
uncle	큰아버지
uncle	작은아버지
uncle, mister	아저씨
uncomfortable, inconvenient	불편하다
underground	지하
underline	밑줄
underpass	지하도
understand	이해하다
understanding	이해
underwear	내복
underwear	속옷
unemployment crisis	취업난
unexpectedly	뜻밖에
unexpectedly	의외로
unification	통일
uniform	유니폼
unique	고유하다
unit	단위
university, college	대학
university, college	대학교
unmanned, no person	무인
unmarried and old man	노총각
unnecessary	불필요
upper floors	고층
upright, straight	똑바로
usage	이용
usage fee	사용료
usage fee	이용료
use	사용하다
use	이용하다
useless	소용없다
uselessly, unreasonably	쓸데없이
useless talk, idle talk	잔소리
user	이용자
username, ID	아이디
usual day	평소
usually, in general	대체로
usually, normally, in general	보통
utility charges	공공요금
utilization	활용
vacation	방학
vacation, holiday	휴가
vacuum cleaner	청소기
valuably, carefully	소중히
value	가치
various	각종
various kinds of	온갖
various, many	여러
vegetable	야채
vegetable	채소
vegetarian	채식
vegetarian person	채식주의자
vending machine	자판기
ventilation	환기
versus, large	대
very	무척
very, basically	워낙
very, completely	아주
very, terribly	몹시
victim	피해자
victim	희생자
victory	승리
victory, championship	우승
video	영상
video	비디오
video	동영상
video camera	비디오카메라
Vietnam	베트남
viewing	관람
view, landscape	경치
village	마을
vinegar	식초
vinyl	비닐
violation	위반
violin	바이올린
virgin	처녀
virtual	가상
virus	바이러스
visa	비자
visit	방문
visual sense	시각
vitamin	비타민
vocabulary	어휘
voice	음성
voice	목소리
voice recorder	녹음기
voice recording	녹음
volcano	화산
volleyball	배구
volume	볼륨
volunteer	봉사
volunteer person	봉사자
vote	투표
vowel	모음
waist, hip	허리
wait	기다리다
wake up, crack, break	깨다
walk	걷다
walk	산책
walk (come)	걸어오다
walk (go)	걸어가다
walking path	산책로
wall	벽
wallet	지갑
wall, fence, hedge	담
wall-hanging	벽걸이
want	싶다
want, wish, desire	원하다
war	전쟁
warm	따뜻하다
warning	경고
wash	씻다
wash	세수하다
washbasin, sink	세면대
washing dishes, dish-washing	설거지
washing machine	세탁기
waste (of use)	낭비
waste (of use)	과소비
water	물
water drop	물방울
waterfall	폭포
water faucet	수도꼭지
watermelon	수박
wave, green onion	파
way back from home	퇴근길
way, method	방법
way of thinking	사고방식
way of use	소용
way, road	길
we	저희
wealth, property	재산
weather	날씨
weather forecast	일기예보
website	사이트
wedding anniversary	결혼기념일
wedding ceremony	결혼식
wedding dress	웨딩드레스
wedding hall	예식장
wedding hall	결혼식장
Wednesday	수요일
week	주
weekday	평일
weekend	주말
weight	무게
welcome	환영하다
welcome party	환영회
well	잘
well	우물
well, I see.	그렇구나
well-known, familiar	익숙하다
western	서부
western, west	서양
west, western	서쪽
we, us	우리
whale	고래
what	뭐
what	무슨
what	무엇
what	무엇이
wheels	바퀴
when	언제
where	어디
which, how	어느
which, what	어떤
while	간
white	하얗다
white color	흰색
white color	하얀색
who	누가
who	누구
whole-body	온몸
why	왜
wide	넓다
wife	아내
wife, Mrs.	부인
wife (of a boss)	사모님
will	의지
wind	바람
window	창
window	창문
window glass	유리창
wine	와인
wine	포도주
wings	날개
winter	겨울
winter vacation	겨울방학
wipe, polish	닦다
wireless	무선
wise mother and good wife	현모양처
wish	소원
with all one's strength	힘껏
within, not ~	안
with one's whole heart, elaborately	정성껏
without	없이
without fail, certainly	반드시
wits, sense	눈치
woman	여자
women's clothing	숙녀복
women's clothing	여성복
(women's) short hairstyle	단발머리
won (currency units of Korea)	원
word	단어
word by word, letter by letter	또박또박
words, remarks	말씀
word, talk	말
work	근무
work	일하다
work, 1, day	일
worker	직장인
worker, laborer	근로자
work, job	업무
work, job, operation	작업
work, piece	작품
workplace	직장
workplace	일자리
world	세계
world	세상
world cup	월드컵
worries	걱정거리
worry	걱정하다
worry, trouble	고민
wound, scratch	상처
wrapping paper	포장지
wreck, mess, ruin	엉망
wrinkles	주름
writer	작가
write, use, wear (glasses)	쓰다
writing, dictation	쓰기
writing lyrics	작사
(written) contract	계약서
(written) report	보고서
wrong	틀리다
Yangban, nobility	양반
yarn, thread	실
yawn	하품
Yeah (answer)	응
year	년
year	연도
years	세월
year, sun	해
yellow	노랗다
yellow color	노란색
yellow dust, asian dust	황사
yen	엔
yes	예
yes, 4	네
yesterday	어제
yesterday	어저께
Yes, that's it.	그렇다
Yes, Yeah	그래
yet, still	아직
yielding, concession	양보
yoga	요가
yogurt	요구르트
you	너
you	당신
young	젊다
young	어리다
young boy	소년
younger brother	남동생
younger sister	여동생
young people	젊은이
youth	젊음
youth	청년
zipper	지퍼
zodiac	띠
zoo	동물원
